telemetry_delay_s,load_sigma,best_threshold,switch_cut_pct,energy_cut_pct,delay_cost_pct,traffic_model
1.0,0.05,0.9,50.7,44.8,0.9,bursty
1.0,0.15,0.9,39.5,36.7,0.6,bursty
1.0,0.25,0.85,36.7,31.7,1.8,bursty
1.0,0.35,0.85,33.8,30.0,1.5,bursty
1.0,0.5,0.8,31.5,26.7,1.7,bursty
1.0,0.7,0.8,26.4,23.2,0.2,bursty
3.0,0.05,0.8,74.1,68.4,1.8,bursty
3.0,0.15,0.85,47.7,45.1,1.9,bursty
3.0,0.25,0.85,37.2,32.7,1.5,bursty
3.0,0.35,0.85,33.9,30.2,1.4,bursty
3.0,0.5,0.8,32.3,28.1,0.7,bursty
3.0,0.7,0.6,53.9,50.0,1.1,bursty
5.0,0.05,0.8,72.5,67.4,1.3,bursty
5.0,0.15,0.85,48.9,45.5,1.5,bursty
5.0,0.25,0.8,52.6,51.2,1.5,bursty
5.0,0.35,0.8,41.8,37.0,2.0,bursty
5.0,0.5,0.8,31.8,27.3,-0.3,bursty
5.0,0.7,0.5,69.8,65.7,0.6,bursty
8.0,0.05,0.7,80.5,77.1,1.9,bursty
8.0,0.15,0.85,49.3,46.1,1.9,bursty
8.0,0.25,0.8,55.2,53.0,0.8,bursty
8.0,0.35,0.8,43.0,40.5,1.6,bursty
8.0,0.5,0.6,61.0,57.5,1.9,bursty
8.0,0.7,0.5,70.1,65.8,-3.3,bursty
12.0,0.05,0.7,81.0,77.0,1.8,bursty
12.0,0.15,0.7,73.7,71.5,1.8,bursty
12.0,0.25,0.8,53.5,50.8,0.0,bursty
12.0,0.35,0.6,70.6,66.9,1.0,bursty
12.0,0.5,0.5,72.3,68.6,0.5,bursty
12.0,0.7,0.5,68.9,65.5,-6.3,bursty
20.0,0.05,0.5,85.4,83.4,1.5,bursty
20.0,0.15,0.6,81.7,78.6,0.6,bursty
20.0,0.25,0.6,74.1,69.9,-1.1,bursty
20.0,0.35,0.5,77.2,70.5,1.7,bursty
20.0,0.5,0.5,74.2,70.0,-6.4,bursty
20.0,0.7,0.5,70.5,67.9,-10.4,bursty
30.0,0.05,0.5,84.5,81.4,1.1,bursty
30.0,0.15,0.8,58.6,54.0,0.3,bursty
30.0,0.25,0.5,82.4,77.9,-0.0,bursty
30.0,0.35,0.5,78.9,76.0,-6.1,bursty
30.0,0.5,0.5,73.6,72.7,-9.5,bursty
30.0,0.7,0.5,69.2,67.5,-9.5,bursty
1.0,0.12,0.85,51.6,50.3,1.6,bursty
1.0,0.19,0.9,32.6,29.9,0.8,bursty
1.0,0.26,0.85,36.2,30.5,2.0,bursty
1.0,0.33,0.85,33.0,29.2,2.0,bursty
1.0,0.4,0.8,36.9,33.7,1.9,bursty
1.0,0.47,0.8,34.8,30.8,1.7,bursty
1.0,0.55,0.85,20.8,18.8,0.8,bursty
1.0,0.62,0.8,26.2,24.0,0.4,bursty
3.0,0.12,0.8,64.0,63.3,1.8,bursty
3.0,0.19,0.9,33.1,30.5,0.9,bursty
3.0,0.26,0.85,36.9,31.2,1.5,bursty
3.0,0.33,0.9,25.1,20.4,1.0,bursty
3.0,0.4,0.8,36.6,33.4,1.8,bursty
3.0,0.47,0.8,34.7,31.2,0.9,bursty
3.0,0.55,0.7,48.4,45.6,1.7,bursty
3.0,0.62,0.7,41.1,40.3,1.0,bursty
5.0,0.12,0.8,62.3,59.4,1.7,bursty
5.0,0.19,0.8,58.3,55.4,1.7,bursty
