telemetry_delay_s,load_sigma,best_threshold,switch_cut_pct,energy_cut_pct,delay_cost_pct,traffic_model
1.0,0.05,0.9,71.8,66.1,1.4,smooth
1.0,0.15,0.9,49.5,45.7,1.4,smooth
1.0,0.25,0.9,33.6,27.3,1.0,smooth
1.0,0.35,0.85,34.1,27.3,1.8,smooth
1.0,0.5,0.85,22.0,17.2,1.2,smooth
1.0,0.7,0.8,21.0,18.0,1.5,smooth
3.0,0.05,0.85,79.4,76.2,1.9,smooth
3.0,0.15,0.9,47.7,43.7,1.2,smooth
3.0,0.25,0.85,46.7,40.3,1.7,smooth
3.0,0.35,0.85,34.4,28.0,1.5,smooth
3.0,0.5,0.85,22.6,17.4,1.1,smooth
3.0,0.7,0.8,21.6,18.9,0.9,smooth
5.0,0.05,0.85,78.6,74.9,1.7,smooth
5.0,0.15,0.85,62.3,58.0,1.6,smooth
5.0,0.25,0.8,59.9,54.7,2.0,smooth
5.0,0.35,0.8,45.5,40.1,1.5,smooth
5.0,0.5,0.8,30.2,24.4,1.0,smooth
5.0,0.7,0.7,33.0,29.1,1.1,smooth
8.0,0.05,0.85,79.3,75.4,1.4,smooth
8.0,0.15,0.85,62.6,59.7,0.8,smooth
8.0,0.25,0.8,61.5,57.3,1.1,smooth
8.0,0.35,0.8,45.9,41.6,0.5,smooth
8.0,0.5,0.7,51.7,44.6,1.7,smooth
8.0,0.7,0.5,68.0,63.6,0.6,smooth
12.0,0.05,0.8,83.2,79.8,1.8,smooth
12.0,0.15,0.85,61.2,56.9,0.3,smooth
12.0,0.25,0.8,60.0,56.8,-0.8,smooth
12.0,0.35,0.7,61.3,57.2,0.8,smooth
12.0,0.5,0.5,76.6,72.6,1.3,smooth
12.0,0.7,0.5,66.8,62.7,-1.6,smooth
20.0,0.05,0.5,84.8,82.3,1.2,smooth
20.0,0.15,0.8,68.5,60.6,1.1,smooth
20.0,0.25,0.7,71.5,65.9,1.7,smooth
20.0,0.35,0.6,72.1,66.4,0.7,smooth
20.0,0.5,0.5,75.1,71.0,-1.4,smooth
20.0,0.7,0.5,68.7,64.0,-3.1,smooth
30.0,0.05,0.5,84.0,81.0,0.5,smooth
30.0,0.15,0.6,82.5,77.2,1.7,smooth
30.0,0.25,0.7,71.6,67.2,1.0,smooth
30.0,0.35,0.6,71.8,67.6,-2.2,smooth
30.0,0.5,0.5,77.3,73.6,-6.6,smooth
30.0,0.7,0.5,71.2,67.6,-10.4,smooth
1.0,0.12,0.9,51.7,46.9,1.7,smooth
1.0,0.19,0.9,35.6,32.8,1.4,smooth
1.0,0.26,0.9,31.5,26.2,1.0,smooth
1.0,0.33,0.85,34.4,25.8,1.9,smooth
1.0,0.4,0.85,27.3,21.6,1.1,smooth
1.0,0.47,0.85,17.0,13.8,1.5,smooth
1.0,0.55,0.8,26.3,24.2,1.8,smooth
1.0,0.62,0.8,27.4,25.5,0.7,smooth
3.0,0.12,0.9,50.0,45.4,1.6,smooth
3.0,0.19,0.9,33.9,32.4,1.2,smooth
3.0,0.26,0.85,46.0,40.6,1.6,smooth
3.0,0.33,0.85,36.4,28.0,1.2,smooth
3.0,0.4,0.85,29.9,25.4,0.9,smooth
3.0,0.47,0.85,19.0,15.8,1.9,smooth
3.0,0.55,0.8,27.6,24.9,1.5,smooth
3.0,0.62,0.7,41.9,38.4,0.9,smooth
5.0,0.12,0.9,53.1,48.0,1.2,smooth
5.0,0.19,0.85,51.2,47.1,1.7,smooth
5.0,0.26,0.8,59.5,54.8,2.0,smooth
5.0,0.33,0.8,48.6,43.5,1.1,smooth
5.0,0.4,0.8,42.9,35.9,0.9,smooth
5.0,0.47,0.8,33.1,30.9,0.8,smooth
5.0,0.55,0.7,48.4,44.0,-0.7,smooth
5.0,0.62,0.6,61.2,57.1,1.4,smooth
7.0,0.05,0.5,78.2,72.2,1.8,smooth
7.0,0.12,0.9,56.5,51.6,0.9,smooth
7.0,0.19,0.85,53.6,50.5,1.6,smooth
7.0,0.26,0.8,60.8,58.1,0.8,smooth
7.0,0.33,0.7,65.5,62.4,1.8,smooth
7.0,0.4,0.8,40.6,34.7,0.5,smooth
7.0,0.47,0.7,56.3,52.2,0.2,smooth
7.0,0.55,0.5,76.5,73.4,0.4,smooth
7.0,0.62,0.5,72.4,68.0,1.5,smooth
7.0,0.7,0.5,70.3,65.5,-1.8,smooth
9.0,0.05,0.5,78.0,71.7,1.5,smooth
9.0,0.12,0.85,63.7,56.9,1.9,smooth
9.0,0.19,0.85,54.0,51.2,1.4,smooth
9.0,0.26,0.8,60.1,57.4,0.3,smooth
9.0,0.33,0.7,67.1,64.8,1.0,smooth
9.0,0.4,0.7,57.5,53.8,1.1,smooth
9.0,0.47,0.7,54.4,50.0,-0.9,smooth
9.0,0.55,0.5,76.5,72.7,-1.1,smooth
9.0,0.62,0.5,71.9,66.3,0.5,smooth
9.0,0.7,0.5,71.1,65.7,-3.1,smooth
11.0,0.05,0.5,78.6,73.1,1.2,smooth
11.0,0.12,0.85,63.9,58.3,1.5,smooth
11.0,0.19,0.85,50.6,48.1,1.0,smooth
11.0,0.26,0.8,59.0,56.2,-0.9,smooth
11.0,0.33,0.7,65.9,63.0,1.0,smooth
11.0,0.4,0.7,56.7,52.0,-0.7,smooth
11.0,0.47,0.6,66.5,62.7,0.4,smooth
11.0,0.55,0.5,76.8,71.9,-1.4,smooth
11.0,0.62,0.5,72.5,66.8,-1.2,smooth
11.0,0.7,0.5,68.6,62.9,-3.7,smooth
13.0,0.05,0.5,78.4,73.1,1.0,smooth
13.0,0.12,0.85,64.1,58.3,1.2,smooth
13.0,0.19,0.85,51.5,48.8,1.0,smooth
13.0,0.26,0.8,59.2,55.9,-0.9,smooth
13.0,0.33,0.8,48.1,44.0,-0.2,smooth
13.0,0.4,0.7,58.5,53.5,-0.4,smooth
13.0,0.47,0.6,66.8,62.6,0.9,smooth
13.0,0.55,0.5,77.1,72.6,-3.1,smooth
13.0,0.62,0.5,72.9,68.0,-3.5,smooth
13.0,0.7,0.5,66.5,59.8,-4.0,smooth
15.0,0.05,0.5,79.0,74.9,0.8,smooth
15.0,0.12,0.85,62.2,57.5,1.6,smooth
15.0,0.19,0.85,50.3,47.2,1.3,smooth
15.0,0.26,0.8,55.7,51.3,0.2,smooth
15.0,0.33,0.7,64.8,61.4,1.8,smooth
15.0,0.4,0.7,58.8,54.2,-0.2,smooth
15.0,0.47,0.6,66.4,63.5,-0.1,smooth
15.0,0.55,0.5,76.3,71.3,-2.8,smooth
15.0,0.62,0.5,72.3,67.3,-3.5,smooth
15.0,0.7,0.5,66.5,60.7,-4.5,smooth
17.0,0.05,0.5,79.4,76.1,0.7,smooth
17.0,0.12,0.7,80.1,76.8,1.6,smooth
17.0,0.19,0.8,64.9,61.3,1.6,smooth
17.0,0.26,0.8,54.1,48.5,0.8,smooth
17.0,0.33,0.7,63.9,60.5,0.5,smooth
17.0,0.4,0.6,69.1,65.6,1.4,smooth
17.0,0.47,0.5,76.8,74.2,1.3,smooth
17.0,0.55,0.5,77.5,74.3,-3.4,smooth
17.0,0.62,0.5,74.4,70.8,-4.1,smooth
17.0,0.7,0.5,69.0,64.3,-4.9,smooth
19.0,0.05,0.5,80.6,77.1,0.4,smooth
19.0,0.12,0.7,80.5,76.9,1.1,smooth
19.0,0.19,0.8,62.0,56.4,1.5,smooth
19.0,0.26,0.8,54.5,47.3,1.0,smooth
19.0,0.33,0.7,63.7,59.4,0.1,smooth
19.0,0.4,0.6,69.2,65.0,1.0,smooth
19.0,0.47,0.5,76.3,73.0,0.5,smooth
19.0,0.55,0.5,75.8,72.1,-3.0,smooth
19.0,0.62,0.5,73.3,69.6,-4.1,smooth
19.0,0.7,0.5,70.2,65.5,-4.6,smooth
22.0,0.05,0.5,80.2,75.8,0.5,smooth
22.0,0.12,0.7,79.7,73.9,1.6,smooth
22.0,0.19,0.6,81.2,74.8,1.5,smooth
22.0,0.26,0.8,55.0,47.6,1.3,smooth
22.0,0.33,0.7,62.4,56.1,1.9,smooth
22.0,0.4,0.6,68.7,62.0,1.0,smooth
22.0,0.47,0.5,76.0,71.4,-2.9,smooth
22.0,0.55,0.5,71.0,65.3,-1.5,smooth
22.0,0.62,0.5,70.6,64.3,-4.1,smooth
22.0,0.7,0.5,66.8,61.1,-3.5,smooth
24.0,0.05,0.5,80.2,76.0,0.4,smooth
24.0,0.12,0.85,62.2,56.9,1.0,smooth
24.0,0.19,0.8,56.0,49.5,1.6,smooth
24.0,0.26,0.8,53.4,46.8,1.7,smooth
24.0,0.33,0.8,47.2,41.5,1.9,smooth
24.0,0.4,0.6,68.0,61.5,0.7,smooth
24.0,0.47,0.5,77.4,72.7,-1.9,smooth
24.0,0.55,0.5,72.9,67.0,-2.3,smooth
24.0,0.62,0.5,71.1,64.9,-5.4,smooth
24.0,0.7,0.5,66.0,59.9,-5.2,smooth
26.0,0.05,0.5,80.4,76.5,0.2,smooth
26.0,0.12,0.6,81.9,76.4,1.7,smooth
26.0,0.19,0.8,53.9,46.7,1.5,smooth
26.0,0.26,0.8,50.2,42.5,1.3,smooth
26.0,0.33,0.8,45.2,39.1,1.4,smooth
26.0,0.4,0.6,68.4,61.9,0.7,smooth
26.0,0.47,0.5,76.9,71.1,-2.7,smooth
26.0,0.55,0.5,74.9,68.8,-5.6,smooth
26.0,0.62,0.5,72.6,67.7,-7.6,smooth
26.0,0.7,0.5,66.5,61.2,-8.6,smooth
28.0,0.05,0.5,78.7,74.5,0.1,smooth
28.0,0.12,0.6,81.3,75.8,1.2,smooth
28.0,0.19,0.8,55.0,47.9,0.9,smooth
28.0,0.26,0.8,50.5,43.3,1.0,smooth
28.0,0.33,0.7,58.7,53.5,1.0,smooth
28.0,0.4,0.6,69.8,63.2,-0.3,smooth
28.0,0.47,0.5,76.7,70.8,-4.2,smooth
28.0,0.55,0.5,74.7,67.9,-6.6,smooth
28.0,0.62,0.5,73.0,67.6,-8.7,smooth
28.0,0.7,0.5,67.5,62.5,-9.9,smooth
30.0,0.12,0.5,83.3,78.8,0.7,smooth
30.0,0.19,0.6,78.8,71.7,1.1,smooth
30.0,0.26,0.8,53.2,47.1,-0.4,smooth
30.0,0.33,0.6,70.6,65.7,1.2,smooth
30.0,0.4,0.5,77.3,71.9,-0.5,smooth
30.0,0.47,0.5,76.5,71.4,-3.7,smooth
30.0,0.55,0.5,74.8,68.9,-7.1,smooth
30.0,0.62,0.5,73.7,69.7,-9.7,smooth
